predict_flag,true_flag,predicted_flag
['c5fe2efd8568b83e9b6185f1947fb3dd92e4f8e5'],0.0,0.0
['833da247841d6f08358a5d2e530a0eb50cd62f5b'],1.0,0.0
['1cd0597539163413d10e8b0099cbbdcda775a8dc'],1.0,1.0
['3f3c6f2661f203481ca7cbb6e9f452a820644381'],1.0,1.0
['8e0464ad7bc03008a6e6d301b1fc0b1fe8cc112d'],1.0,1.0
['031f433db56e5122ffa67c8ca5ed89c73717080a'],1.0,0.0
['cf8ac4808d14c930e52137b7c415a532038cc178'],0.0,0.0
['7bc752d7e0958cb843c16c69fe34d16048dcffd6'],0.0,1.0
['b197b3e6119b187b4444da51c41fa39e70ebe441'],0.0,1.0
['c447763bf4f183220fce56dbcf6b77c3aff7b982'],1.0,1.0
['a71a87a8ca6736956face30ed9707a169ef34eb9'],0.0,0.0
['0f626adb35bfe85037e45b8e32cd9f73d6c87aff'],1.0,1.0
['535f1f41a1294ba0db31a82eb5005cdebdd1b9b1'],-1.0,0.0
['6575c2834a42ab30f2a9f9f0d0343db61238901d'],-1.0,0.0
['c863458e1afac663e50e313bf7fa2780c142b99e'],-1.0,0.0
